TeamId,TeamName,Alias,Division,Conference,ConferenceAbbr
165,East Tennessee State,NULL,FCS,Southern Conference,SoCon
166,Eastern Illinois,NULL,FCS,OVC-Big South Association,OVC-Big South
167,Eastern Kentucky,NULL,FCS,United Athletic Conference,UAC
168,Eastern Washington,NULL,FCS,Big Sky Conference,Big Sky
169,Elon,NULL,FCS,CAA Football,CAA
170,Florida A&M,NULL,FCS,Southwestern Athletic Conference,SWAC
171,Fordham,NULL,FCS,Patriot League,Patriot
172,Furman,NULL,FCS,Southern Conference,SoCon
173,Gardner-Webb,NULL,FCS,OVC-Big South Association,OVC-Big South
174,Grambling State,NULL,FCS,Southwestern Athletic Conference,SWAC
175,Hampton,NULL,FCS,CAA Football,CAA
176,Harvard,NULL,FCS,Ivy League,Ivy
177,Holy Cross,NULL,FCS,Patriot League,Patriot
178,Houston Christian,Houston Baptist,FCS,Southland Conference,Southland
179,Howard,NULL,FCS,Mid-Eastern Athletic Conference,MEAC
180,Idaho,NULL,FCS,Big Sky Conference,Big Sky
181,Idaho State,NULL,FCS,Big Sky Conference,Big Sky
182,Illinois State,NULL,FCS,Missouri Valley Football Conference,MVFC
183,Incarnate Word,NULL,FCS,Southland Conference,Southland
184,Indiana State,NULL,FCS,Missouri Valley Football Conference,MVFC
185,Jackson State,NULL,FCS,Southwestern Athletic Conference,SWAC
186,Lafayette,NULL,FCS,Patriot League,Patriot
187,Lamar,NULL,FCS,Southland Conference,Southland
188,Lehigh,NULL,FCS,Patriot League,Patriot
189,Lindenwood,NULL,FCS,OVC-Big South Association,OVC-Big South
190,LIU,Long Island,FCS,Northeast Conference,NEC
191,Maine,NULL,FCS,CAA Football,CAA
192,McNeese State,NULL,FCS,Southland Conference,Southland
193,Mercer,NULL,FCS,Southern Conference,SoCon
194,Merrimack,NULL,FCS,Independent (football),IND
195,Mississippi Valley State,NULL,FCS,Southwestern Athletic Conference,SWAC
196,Monmouth,NULL,FCS,CAA Football,CAA
197,Montana,NULL,FCS,Big Sky Conference,Big Sky
198,Montana State,NULL,FCS,Big Sky Conference,Big Sky
199,Morehead State,NULL,FCS,Pioneer Football League,PFL
200,Morgan State,NULL,FCS,Mid-Eastern Athletic Conference,MEAC
201,Murray State,NULL,FCS,Missouri Valley Football Conference,MVFC
202,New Hampshire,NULL,FCS,CAA Football,CAA
203,Nicholls State,NULL,FCS,Southland Conference,Southland
