Rk,Wk,Date,Day,Winner,Pts,,Loser,Pts,Notes
119,4,Sep 17 1988,Sat,Indiana,36,,Kentucky,15,
120,4,Sep 17 1988,Sat,(9) Louisiana State,34,@,Tennessee,9,
121,4,Sep 17 1988,Sat,Louisville,29,,Memphis,18,
122,4,Sep 17 1988,Sat,McNeese State,46,,Toledo,19,
123,4,Sep 17 1988,Sat,(1) Miami (FL),31,@,(15) Michigan,30,
124,4,Sep 17 1988,Sat,Minnesota,35,,Miami (OH),3,
125,4,Sep 17 1988,Sat,North Carolina State,14,,Wake Forest,6,
126,4,Sep 17 1988,Sat,Northern Illinois,19,@,Wisconsin,17,
127,4,Sep 17 1988,Sat,(8) Notre Dame,20,@,Michigan State,3,
128,4,Sep 17 1988,Sat,(4) Oklahoma,28,,Arizona,10,
129,4,Sep 17 1988,Sat,Oregon,43,@,Washington State,28,
130,4,Sep 17 1988,Sat,Oregon State,17,,California,16,
131,4,Sep 17 1988,Sat,(16) Penn State,23,,Boston College,20,
132,4,Sep 17 1988,Sat,Pittsburgh,42,,(18) Ohio State,10,
133,4,Sep 17 1988,Sat,Purdue,33,,Ohio,10,
134,4,Sep 17 1988,Sat,(14) South Carolina,17,,East Carolina,0,
135,4,Sep 17 1988,Sat,Southern Mississippi,35,,Virginia Tech,13,
136,4,Sep 17 1988,Sat,Stanford,31,,San Diego State,10,
137,4,Sep 17 1988,Sat,Temple,12,@,Navy,7,
138,4,Sep 17 1988,Sat,Texas,47,,New Mexico,0,
139,4,Sep 17 1988,Sat,Texas Christian,49,,Bowling Green,12,
140,4,Sep 17 1988,Sat,Tulane,20,,Kansas State,16,
141,4,Sep 17 1988,Sat,(2) UCLA,56,,Long Beach State,3,
142,4,Sep 17 1988,Sat,Vanderbilt,31,@,Rutgers,30,
143,4,Sep 17 1988,Sat,Virginia,17,,Georgia Tech,16,
144,4,Sep 17 1988,Sat,(17) Washington,31,,Army,17,
145,4,Sep 17 1988,Sat,(12) West Virginia,55,,Maryland,24,
146,4,Sep 17 1988,Sat,Western Michigan,44,,Illinois State,14,
147,4,Sep 17 1988,Sat,Wyoming,38,,Louisiana Tech,6,
148,4,Sep 18 1988,Sun,Louisiana,33,,Sam Houston,8,
149,5,Sep 24 1988,Sat,Akron,30,@,New Mexico,28,
150,5,Sep 24 1988,Sat,(13) Alabama,44,,Vanderbilt,10,
151,5,Sep 24 1988,Sat,Arizona,55,,Eastern Michigan,0,
152,5,Sep 24 1988,Sat,Army,23,,Northwestern,7,
153,5,Sep 24 1988,Sat,(4) Auburn,38,,Tennessee,6,
154,5,Sep 24 1988,Sat,Cal State Fullerton,13,,Pacific,10,
155,5,Sep 24 1988,Sat,California,52,,Kansas,21,
156,5,Sep 24 1988,Sat,Central Michigan,48,,Montana State,10,
157,5,Sep 24 1988,Sat,Cincinnati,34,@,Miami (OH),18,
158,5,Sep 24 1988,Sat,Citadel,42,,Navy,35,
